LocationName,ProductCount,LocationStockAvailable,ProductsBelowAlertPoint,ProductsOutOfStock,AvgCostPrice,AvgRetailPrice,LocationTotalCostValue,LocationTotalRetailValue,TotalProductCount,TotalLocationStockAvailable,TotalProductsBelowAlertPoint,TotalProductsOutOfStock,TotalAvgCostPrice,TotalAvgRetailPrice,TotalLocationTotalCostValue,TotalLocationTotalRetailValue
Scanlon Hair,332,432.00,53,33,37.69,,189.79,,332,432.00,53,33,37.69,,189.79,

ProductName,SkuHandle,ProductLocation,StockAvailable,ReorderAlertThreshold,Textbox49,UnitCostPrice,UnitRetailPrice,TotalCostValue,TotalRetailValue,TotalStockAvailable,Textbox50,TotalUnitCostPrice,TotalUnitRetailPrice,TotalTotalCostValue,TotalTotalRetailValue
"Dia Light 6,1",3474630571044,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 6,11",3474636588275,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 6,3",3474630400900,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 6,34",,Scanlon Hair,0.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Dia Light 7,3474630442160,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 7,11",3474636588329,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 7,12",3474630537170,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 7,18",3474636588374,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 7,23",3474630537071,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 7,31",3474630401006,Scanlon Hair,2.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 7,35",,Scanlon Hair,0.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 7,4",3474630536975,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 7,43",3474630401709,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 7,8",3474630687950,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Dia Light 8,3474630400092,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 8,1",3474630571143,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 8,23",3474630570740,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 8,3",3474630400290,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 8,34",3474630400702,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 9,01",3474630400504,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 9,02",3474630400436,Scanlon Hair,2.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 9,03",3474630400603,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 9,11",3474630480773,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 9,12",3474630537279,Scanlon Hair,1.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 9,13",3474630400832,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 9,21",3474636588220,Scanlon Hair,0.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 9,3",3474630409637,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Light 9,31",3474636417551,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Dia Light Clear,3474630400191,Scanlon Hair,1.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse ,20",3474636602193,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse ,24",3474636608713,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse ,26",3474636602148,Scanlon Hair,2.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Dia Richesse 1,3474630397552,Scanlon Hair,4.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 10,12",3474630549456,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Dia Richesse 3,3474630397699,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Dia Richesse 4,3474630397798,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 4,15",3474630399099,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 4,20",3474630399594,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 4,62",3474630399693,Scanlon Hair,3.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 4,8",3474630570146,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Dia Richesse 5,3474630397897,Scanlon Hair,3.00,3,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 5,01",3474630478732,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 5,12",3474630456723,Scanlon Hair,0.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 5,13",3474634004180,Scanlon Hair,3.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 5,15",3474630399396,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 5,25",3474630399297,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 5,3",3474630479074,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 5,32",3474630398696,Scanlon Hair,2.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 5,35",3474630442863,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 5,52",3474630456822,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 5,60",3474630480278,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 5,8",3474630570245,Scanlon Hair,4.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Dia Richesse 6,3474630397996,Scanlon Hair,3.00,6,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 6,01",3474630443464,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 6,12",3474630457027,Scanlon Hair,0.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 6,13",3474630399495,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 6,23",3474630443068,Scanlon Hair,2.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 6,3",3474630478978,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 6,34",3474630398894,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 6,35",3474630398795,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 6,45",3474630480377,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 6,64",3474630480476,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 6,8",3474630570344,Scanlon Hair,4.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Dia Richesse 7,3474630398122,Scanlon Hair,5.00,6,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 7,01",3474630457225,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 7,13",3474630457355,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 7,23",3474630442368,Scanlon Hair,3.00,3,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 7,30",3474630398399,Scanlon Hair,2.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 7,31",3474630398993,Scanlon Hair,0.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 7,32",3474630442467,Scanlon Hair,2.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 7,8",3474630570443,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Dia Richesse 8,3474630398191,Scanlon Hair,4.00,4,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 8,02",3474630457522,Scanlon Hair,1.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 8,13",3474630479579,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 8,3",3474630479173,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 8,31",3474630398498,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Dia Richesse 9,3474630478633,Scanlon Hair,2.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 9,01",3474630549241,Scanlon Hair,2.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 9,02",3474630549357,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 9,13",3474630479470,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Dia Richesse 9,31",3474630442665,Scanlon Hair,2.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Dia Richesse Clear,3474630398290,Scanlon Hair,2.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Dia Richesse S11,3474636608669,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Inoa 1,3474630412118,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Inoa 10,3474630412217,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 10,01",3474630484016,Scanlon Hair,2.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 10,23 Blond Resist",3474636383078,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Inoa 3,3474630412644,Scanlon Hair,2.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Inoa 4,3474630412743,Scanlon Hair,1.00,2,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 4,0",3474630462366,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 4,07",3474630568020,Scanlon Hair,1.00,0,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 4,15",3474630412842,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 4,20",3474630412941,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 4,3",3474630413146,Scanlon Hair,2.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 4,45",3474630413344,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 4,56",3474636403844,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 4,8",3474630696167,Scanlon Hair,1.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
Inoa 5,3474630413641,Scanlon Hair,2.00,3,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
"Inoa 5,0",,Scanlon Hair,0.00,1,0.00,,0.00,,0.00,432.00,-,75.37,0.00,189.79,0.00
