LocationName,ProductCount,LocationStockAvailable,ProductsBelowAlertPoint,ProductsOutOfStock,AvgCostPrice,AvgRetailPrice,LocationTotalCostValue,LocationTotalRetailValue,TotalProductCount,TotalLocationStockAvailable,TotalProductsBelowAlertPoint,TotalProductsOutOfStock,TotalAvgCostPrice,TotalAvgRetailPrice,TotalLocationTotalCostValue,TotalLocationTotalRetailValue
Scanlon Hair,189,316.00,21,34,19.19,34.86,"1,000.51","11,884.70",189,316.00,21,34,19.19,34.86,"1,000.51","11,884.70"

ProductName,SkuHandle,ProductLocation,StockAvailable,ReorderAlertThreshold,Textbox49,UnitCostPrice,UnitRetailPrice,TotalCostValue,TotalRetailValue,TotalStockAvailable,Textbox50,TotalUnitCostPrice,TotalUnitRetailPrice,TotalTotalCostValue,TotalTotalRetailValue
LOR PF Reconstruct Conditioner 200ml,3474630731912,Scanlon Hair,1.00,0,2.36,,26.00,,26.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR PF Reconstruct Leave In 75ml,3474630732117,Scanlon Hair,3.00,0,2.64,,29.00,,87.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR PF Reconstruct Masque 200ml,3474630732018,Scanlon Hair,2.00,0,3.18,,35.00,,70.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR PF Reconstruct Shampoo 250ml,3474630731813,Scanlon Hair,1.00,0,2.64,,29.00,,29.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR PF Recreate  Shampoo 250ml,3474636388790,Scanlon Hair,1.00,0,2.64,,29.00,,29.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR PF Recreate Conditioner 200ml,3474636388868,Scanlon Hair,2.00,0,2.64,,29.00,,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR PF Recreate Leave In 150ml,3474636388882,Scanlon Hair,4.00,0,2.64,29.00,29.00,116.00,116.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR PF Rectify Conditioner 250ml,3474630731110,Scanlon Hair,2.00,0,2.64,,29.00,,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR PF Rectify Leave In,3474630731318,Scanlon Hair,2.00,0,2.64,,29.00,,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR PF Rectify Masque 200ml,3474630731219,Scanlon Hair,4.00,0,3.18,,35.00,,140.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR PF Rectify Shampoo 250ml,3474630731011,Scanlon Hair,2.00,0,2.64,,29.00,,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR PF Restore Conditioner 250ml,3474630731516,Scanlon Hair,2.00,0,2.64,,29.00,,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR PF Restore Leave In 150ml,3474630731714,Scanlon Hair,1.00,0,2.64,,29.00,,29.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR PF Restore Masque 200ml,3474630731615,Scanlon Hair,4.00,0,3.18,,35.00,,140.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR PF Restore Shampoo 250ml,3474630731417,Scanlon Hair,2.00,0,2.64,,29.00,,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Absolut Repair Conditioner 200ml,3474636481750,Scanlon Hair,2.00,3,2.64,10.97,29.00,21.94,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Absolut Repair Shampoo 300ml,3474636481712,Scanlon Hair,2.00,3,2.64,,29.00,,58.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Absolute Repair Blow-Dry Cream 125ml,3474636481804,Scanlon Hair,2.00,2,2.36,,26.00,,52.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Absolute Repair Double Serum 2 x 15ml,3474636481866,Scanlon Hair,4.00,2,2.36,,26.00,,104.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Absolute Repair Double Serum 2 x 15ml,3474630641143,Scanlon Hair,1.00,0,0.00,,26.00,,26.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Inforcer Brush Proof 37g,884486339720,Scanlon Hair,3.00,1,2.82,,31.00,,93.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
LOR SE Inforcer Conditioner 200ml,3474636483976,Scanlon Hair,3.00,2,2.64,,29.00,,87.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
