Textbox3,Textbox56,Textbox61,Textbox64,Textbox21,Textbox79,Textbox84,Textbox87,Textbox90,Textbox22,Textbox93,Name1,Handle,StartingStock1,NewStock1,Return1,Transfer1,AdjustmentIncrease1,OtherIncrease1,InternalUse1,Damaged1,OutOfDate1,Sold1,Removed1,AdjustmentDecrease,Textbox24,OtherDecrease1,EndStock1,Textbox7,Textbox8,Textbox9,Textbox10,Textbox11,Textbox12,Textbox13,Textbox14,Textbox15,Textbox16,Textbox17,Textbox18,Textbox25,Textbox19,Textbox20
,,,,,,,,,,,NAK Hydrating Shampoo 375ml,,-2,,,2,,2,,,,2,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK In Shape 90g,9328514001377,-15,,,,,16,,,,1,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Kurls Styling Creme 150ml,9328514006679,-38,,,,,44,,,,4,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Nourishing Conditioner 375ml,9328514006266,-3,,,,,6,,,,2,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Nourishing Shampoo 375ml,,-2,,,,,4,,,,2,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Options Sculpting Lotion 150ml,9328514006488,-9,,,,,10,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Outakontrol 90g,9328514001384,-1,,,,,2,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Pack Blonde Duo with Luxe Finishing Creme,9328514013509,,,,,,2,,,,2,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Pack Blonde Plus Duo with Luxe Finishing Creme,9328514013516,,,,,,2,,,,2,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Pack Body N Shine Duo with Luxe Finishing Creme,9328514013523,,,,,,3,,,,1,,,,1,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Pack Hydrating Duo with Luxe Finishing Creme,9328514013530,,,,,,3,1,,,1,,,1,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Pack Hydrating Quad,9328514013400,2,,,,,,,,,,,,,1,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Pack Nourishing Duo with Lux Finishing Creme,9328514013547,,4,,,,,,,,3,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Pack Volumising Trio,9328514013271,,,,,,1,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Platinum Blonde 375ml,9328514016623,,1,,,,,,,,1,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Repl Ends Blonde Leave In Moisturiser 150ml,9328514006723,-24,,,,,27,,,,2,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Repl Ends Leave In Moisturiser,9328514006563,,,,,,2,,,,1,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Repl Ends Spray 250ml,9328514006730,-1,,,,,3,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Shine Mist 222ml,9328514010119,-1,,,,,2,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Surf Styler 250ml,9328514006778,1,,,,,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Tough N Up 90g,9328514001414,,,,,,1,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Ultimate Cleanse Shampoo 375ml,9328514006310,-1,,,,,2,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Ultimate Potion Styling Treatment 150ml,9328514011017,-2,,,,,4,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,NAK Ultimate Treatment 60 Second Repair 150ml,9328514001292,-4,,,,,5,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Popband Headbands ,713072707141,2,,,,,,,,,,,1,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Poplaces - Black,700729852569,,,,,2,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Poplaces - Blue,757440438527,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Poplaces - pink,757440438503,3,,,,,,,,,,,1,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Tangle Teezer Compact Groomer Hairbrush - Mens,5060173370145,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Tangle Teezer Compact Styler Hairbrush - Flamingo,5060173371401,,,,,1,,,,,1,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Tangle Teezer Compact Styler Hairbrush - Frozen,5060173370619,-24,,,,25,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Tangle Teezer Compact Styler Hairbrush - Gold,5060173370589,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Tangle Teezer Compact Styler Hairbrush - Starwars,5060173370794,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Tangle Teezer Flowerpot Brush Blue / Orange,5060173370091,-2,,,,4,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Tangle Teezer Flowerpot Brush Yellow / Pink,5060173370053,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Tangle Teezer Salon Elite Hairbrush - Black,5060173375041,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Tangle Teezer Salon Elite Hairbrush - Blue/Pink,5060173375010,-1,,,,2,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Tangle Teezer Salon Elite Hairbrush - Purple/Pink,5060173375027,-42,,,,44,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Tangle Teezer Salon Original Hairbrush - White/Red,5060173373900,,,,,1,,,,,1,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316

