"id","created_at","updated_at","supplier","barcode","product_range","display_name","order_name","supplier_sequence","discontinued","product_usage","current_max_stock","current_stock_available","current_cost_price","current_retail_price"
"38","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630400436","Dia Light","Dia Light 9,02","","04.02.30","0","Professional","2","2",\N,"0.00"
"39","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630400603","Dia Light","Dia Light 9,03","","04.02.31","0","Professional","1","1",\N,"0.00"
"40","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630480773","Dia Light","Dia Light 9,11","","04.02.32","0","Professional","1","0",\N,"0.00"
"41","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630537279","Dia Light","Dia Light 9,12","","04.02.33","0","Professional","2","1",\N,"0.00"
"42","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630400832","Dia Light","Dia Light 9,13","","04.02.34","0","Professional","1","0",\N,"0.00"
"43","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474636588220","Dia Light","Dia Light 9,21","","04.02.35","0","Professional","1","0",\N,"0.00"
"44","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630409637","Dia Light","Dia Light 9,3","","04.02.36","0","Professional","1","1",\N,"0.00"
"45","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474636417551","Dia Light","Dia Light 9,31","","04.02.37","0","Professional","1","1",\N,"0.00"
"46","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630400191","Dia Light","Dia Light Clear","","04.02.01","0","Professional","2","1",\N,"0.00"
"47","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474636602193","Dia Richesse","Dia Richesse ,20",".20 Shimmer Purple","04.01.02","0","Professional","1","1",\N,"0.00"
"48","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474636608713","Dia Richesse","Dia Richesse ,24",".24 Rose Gold","04.01.04","0","Professional","1","1",\N,"0.00"
"49","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474636602148","Dia Richesse","Dia Richesse ,26",".26 Shimmer Pink","04.01.01","0","Professional","2","2",\N,"0.00"
"50","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630397552","Dia Richesse","Dia Richesse 1","","04.01.06","0","Professional","1","4",\N,"0.00"
"51","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630549456","Dia Richesse","Dia Richesse 10,12","","04.01.54","0","Professional","1","1",\N,"0.00"
"52","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630397699","Dia Richesse","Dia Richesse 3","","04.01.07","0","Professional","1","1",\N,"0.00"
